,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,0,0,4,0,0
2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
3,0,0,0,1271,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,1,1,0,1,0,0
4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5,0,0,0,0,0,542,5,2,0,0,0,0,0,0,0,1,0,0,1,24,3,0,0,0,0,7,8,0,5,2,0,38,0,0
6,0,0,0,0,0,0,2784,0,0,1,636,0,0,1,0,0,0,0,0,165,0,1,8,0,0,0,3,0,0,0,0,125,0,2
7,0,0,0,0,0,6,1,251,0,0,0,0,0,0,0,0,0,0,1,7,0,0,123,0,0,0,1,0,0,0,0,10,0,0
8,0,0,0,0,0,0,0,0,803,4,1,0,0,0,0,0,0,0,0,39,0,23,4,0,0,2,3,0,1,0,0,25,0,0
9,0,0,0,0,0,0,0,0,1,54,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0
10,0,0,0,0,0,0,1094,1,0,0,1165,0,0,1,0,0,1,0,0,192,0,1,8,0,0,2,5,5,0,0,0,107,2,0
11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0
12,0,0,0,0,0,0,1,0,0,0,1,0,23,0,0,0,0,0,1,8,0,0,0,0,0,1,2,0,3,0,0,1,0,0
13,0,0,0,0,0,0,5,0,0,0,0,0,0,304,0,0,0,0,2,15,0,1,1,0,0,1,1,0,1,1,0,19,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2345,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
16,2,0,0,0,0,0,15,0,0,3,1,0,0,0,0,0,3723,0,6,71,1,1,1,0,0,1,3,13,2,3,0,75,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,0,1550,21,0,2,0,0,1,2,0,7,0,10,0,14,2,0
19,0,1,0,0,0,1,43,1,8,6,6,0,0,1,0,0,29,0,8,4717,0,0,13,0,0,17,13,8,6,0,0,250,146,0
20,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,16,124,0,0,0,0,1,1,0,1,0,0,33,0,0
21,0,0,0,0,0,1,1,0,41,0,0,0,0,0,0,0,0,0,0,75,0,1280,5,0,0,5,2,11,3,4,0,55,1,0
22,0,0,0,0,0,0,9,34,0,3,6,0,0,0,0,0,0,0,0,218,1,0,2979,0,0,1,3,0,4,0,0,92,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0,0,0,0,1,0,1,0,0
25,0,0,0,0,0,10,0,0,1,0,1,0,0,1,0,0,1,0,1,27,1,1,1,0,0,5651,1,11,3,0,1,31,0,0
26,1,0,0,0,0,10,6,1,2,0,2,0,0,1,0,0,3,0,0,17,2,0,8,0,0,0,1201,1,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,5,0,6,6,1,7,3,0,1,4,0,4266,7,0,0,0,0,0
28,0,0,0,0,0,0,0,0,1,0,3,3,4,1,0,0,0,0,0,0,1,3,0,0,0,1,0,20,2984,0,1,0,1,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,0,2,0,0,3,1,0,0,0,965,0,6,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,7,0,0,51,11,0,0
31,0,4,0,2,0,17,124,12,8,1,60,0,5,8,0,0,12,0,18,287,11,106,78,0,0,41,3,0,0,3,2,5046,31,0
32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,22,0,0,0,0,1,1,1,0,0,0,0,24,770,0
33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,1,0,0,3,0,29,1,0,0,0,0,2
